ID,Name,Age,Salary,Score,City,Email
1,Neha,21.0,0.0,64.0,Pune,neha1@outlook.com
2,Karan,29.0,,60.0,Mumbai,karan2@outlook.com
3,Neha,,,0.0,Varanasi,neha3@yahoo.com
4,Vikas,,0.0,,Jaipur,vikas4@outlook.com
5,Karan,,0.0,93.0,Pune,karan5@outlook.com
6,Karan,20.0,,0.0,Pune,karan6@outlook.com
7,Rohit,,,,Varanasi,rohit7@gmail.com
8,Vikas,44.0,0.0,86.0,Lucknow,vikas8@outlook.com
9,Riya,38.0,-12707.0,0.0,Pune,riya9@outlook.com
10,Karan,40.0,0.0,72.0,Varanasi,karan10@outlook.com
11,Vikas,,0.0,56.0,Mumbai,vikas11@outlook.com
12,Vikas,32.0,-38450.0,0.0,Varanasi,vikas12@yahoo.com
13,Vikas,43.0,0.0,,Varanasi,vikas13@yahoo.com
14,Riya,,-38264.0,,Jaipur,riya14@gmail.com
15,Aman,,0.0,0.0,Mumbai,aman15@outlook.com
16,Sneha,,27791.0,,Mumbai,sneha16@outlook.com
17,Simran,44.0,,0.0,Delhi,simran17@outlook.com
18,Aman,24.0,-38831.0,,Lucknow,aman18@yahoo.com
19,Simran,,inf,100.0,Jaipur,simran19@gmail.com
20,Pooja,27.0,0.0,0.0,Delhi,pooja20@outlook.com
21,Arjun,,,,Delhi,arjun21@gmail.com
22,Aman,,0.0,100.0,Mumbai,aman22@yahoo.com
23,Neha,,64512.0,0.0,Pune,neha23@gmail.com
24,Rohit,22.0,0.0,0.0,Jaipur,rohit24@yahoo.com
25,Sneha,,,0.0,Lucknow,sneha25@yahoo.com
26,Rohit,,59489.0,0.0,Jaipur,rohit26@outlook.com
27,Pooja,44.0,inf,69.0,Jaipur,pooja27@gmail.com
28,Neha,45.0,75203.0,0.0,Jaipur,neha28@outlook.com
29,Sneha,37.0,0.0,82.0,Jaipur,sneha29@yahoo.com
30,Riya,,-46832.0,54.0,Varanasi,riya30@yahoo.com
31,Karan,37.0,43474.0,50.0,Varanasi,karan31@yahoo.com
32,Vikas,25.0,63789.0,52.0,Delhi,vikas32@outlook.com
33,Rohit,43.0,-45339.0,,Varanasi,rohit33@gmail.com
34,Pooja,37.0,inf,67.0,Varanasi,pooja34@yahoo.com
35,Vikas,25.0,0.0,90.0,Delhi,vikas35@outlook.com
36,Simran,23.0,-39125.0,,Delhi,simran36@yahoo.com
37,Simran,,inf,51.0,Pune,simran37@yahoo.com
38,Karan,31.0,-38084.0,0.0,Mumbai,karan38@yahoo.com
39,Vikas,,79100.0,0.0,Varanasi,vikas39@yahoo.com
40,Rohit,25.0,,0.0,Lucknow,rohit40@gmail.com
41,Simran,44.0,inf,58.0,Delhi,simran41@gmail.com
42,Simran,38.0,,0.0,Jaipur,simran42@gmail.com
43,Pooja,34.0,-45648.0,,Pune,pooja43@yahoo.com
44,Riya,35.0,,,Lucknow,riya44@outlook.com
45,Aman,22.0,-32436.0,0.0,Lucknow,aman45@yahoo.com
46,Vikas,40.0,,0.0,Jaipur,vikas46@gmail.com
47,Simran,20.0,-26275.0,60.0,Varanasi,simran47@outlook.com
48,Arjun,,-34719.0,0.0,Lucknow,arjun48@outlook.com
49,Neha,,inf,,Pune,neha49@gmail.com
50,Karan,,0.0,0.0,Mumbai,karan50@yahoo.com
51,Neha,,0.0,0.0,Pune,neha51@yahoo.com
52,Rohit,,-16366.0,,Jaipur,rohit52@yahoo.com
53,Vikas,,-30933.0,0.0,Lucknow,vikas53@gmail.com
54,Vikas,33.0,-38135.0,81.0,Pune,vikas54@gmail.com
55,Neha,39.0,0.0,0.0,Jaipur,neha55@gmail.com
56,Sneha,,inf,0.0,Varanasi,sneha56@gmail.com
57,Vikas,31.0,,76.0,Pune,vikas57@outlook.com
58,Simran,23.0,0.0,93.0,Mumbai,simran58@yahoo.com
59,Rohit,37.0,,96.0,Pune,rohit59@yahoo.com
60,Aman,37.0,31033.0,59.0,Varanasi,aman60@outlook.com
61,Karan,29.0,,0.0,Varanasi,karan61@outlook.com
62,Pooja,,0.0,0.0,Pune,pooja62@outlook.com
63,Riya,30.0,0.0,0.0,Mumbai,riya63@yahoo.com
64,Rohit,22.0,,51.0,Lucknow,rohit64@outlook.com
