ID,Name,Age,Salary,Score,City,Email
1,Neha,21,0,64,Pune,neha1@outlook.com
2,Karan,29,2127.142857,60,Mumbai,karan2@outlook.com
3,Neha,33.73333333,2127.142857,0,Varanasi,neha3@yahoo.com
4,Vikas,33.73333333,0,52,Jaipur,vikas4@outlook.com
5,Karan,33.73333333,0,93,Pune,karan5@outlook.com
6,Karan,20,2127.142857,0,Pune,karan6@outlook.com
7,Rohit,33.73333333,2127.142857,52,Varanasi,rohit7@gmail.com
8,Vikas,44,0,86,Lucknow,vikas8@outlook.com
9,Riya,38,8882.225,0,Pune,riya9@outlook.com
10,Karan,40,0,72,Varanasi,karan10@outlook.com
11,Vikas,33.73333333,0,56,Mumbai,vikas11@outlook.com
12,Vikas,32,8882.225,0,Varanasi,vikas12@yahoo.com
13,Vikas,43,0,52,Varanasi,vikas13@yahoo.com
14,Riya,33.73333333,8882.225,52,Jaipur,riya14@gmail.com
15,Aman,33.73333333,0,0,Mumbai,aman15@outlook.com
16,Sneha,33.73333333,27791,52,Mumbai,sneha16@outlook.com
17,Simran,44,2127.142857,0,Delhi,simran17@outlook.com
18,Aman,24,8882.225,52,Lucknow,aman18@yahoo.com
19,Simran,33.73333333,2127.142857,100,Jaipur,simran19@gmail.com
20,Pooja,27,0,0,Delhi,pooja20@outlook.com
21,Arjun,33.73333333,2127.142857,52,Delhi,arjun21@gmail.com
22,Aman,33.73333333,0,100,Mumbai,aman22@yahoo.com
24,Rohit,22,0,0,Jaipur,rohit24@yahoo.com
25,Sneha,33.73333333,2127.142857,0,Lucknow,sneha25@yahoo.com
26,Rohit,33.73333333,59489,0,Jaipur,rohit26@outlook.com
27,Pooja,44,2127.142857,69,Jaipur,pooja27@gmail.com
29,Sneha,37,0,82,Jaipur,sneha29@yahoo.com
30,Riya,33.73333333,8882.225,54,Varanasi,riya30@yahoo.com
31,Karan,37,43474,50,Varanasi,karan31@yahoo.com
33,Rohit,43,8882.225,52,Varanasi,rohit33@gmail.com
34,Pooja,37,2127.142857,67,Varanasi,pooja34@yahoo.com
35,Vikas,25,0,90,Delhi,vikas35@outlook.com
36,Simran,23,8882.225,52,Delhi,simran36@yahoo.com
37,Simran,33.73333333,2127.142857,51,Pune,simran37@yahoo.com
38,Karan,31,8882.225,0,Mumbai,karan38@yahoo.com
40,Rohit,25,2127.142857,0,Lucknow,rohit40@gmail.com
41,Simran,44,2127.142857,58,Delhi,simran41@gmail.com
42,Simran,38,2127.142857,0,Jaipur,simran42@gmail.com
43,Pooja,34,8882.225,52,Pune,pooja43@yahoo.com
44,Riya,35,2127.142857,52,Lucknow,riya44@outlook.com
45,Aman,22,8882.225,0,Lucknow,aman45@yahoo.com
46,Vikas,40,2127.142857,0,Jaipur,vikas46@gmail.com
47,Simran,20,8882.225,60,Varanasi,simran47@outlook.com
48,Arjun,33.73333333,8882.225,0,Lucknow,arjun48@outlook.com
49,Neha,33.73333333,2127.142857,52,Pune,neha49@gmail.com
50,Karan,33.73333333,0,0,Mumbai,karan50@yahoo.com
51,Neha,33.73333333,0,0,Pune,neha51@yahoo.com
52,Rohit,33.73333333,8882.225,52,Jaipur,rohit52@yahoo.com
53,Vikas,33.73333333,8882.225,0,Lucknow,vikas53@gmail.com
54,Vikas,33,8882.225,81,Pune,vikas54@gmail.com
55,Neha,39,0,0,Jaipur,neha55@gmail.com
56,Sneha,33.73333333,2127.142857,0,Varanasi,sneha56@gmail.com
57,Vikas,31,2127.142857,76,Pune,vikas57@outlook.com
58,Simran,23,0,93,Mumbai,simran58@yahoo.com
59,Rohit,37,2127.142857,96,Pune,rohit59@yahoo.com
60,Aman,37,31033,59,Varanasi,aman60@outlook.com
61,Karan,29,2127.142857,0,Varanasi,karan61@outlook.com
62,Pooja,33.73333333,0,0,Pune,pooja62@outlook.com
63,Riya,30,0,0,Mumbai,riya63@yahoo.com
64,Rohit,22,2127.142857,51,Lucknow,rohit64@outlook.com
65,Vikas,31,2127.142857,0,Varanasi,vikas65@yahoo.com
66,Vikas,33.73333333,8882.225,52,Lucknow,vikas66@gmail.com
67,Rohit,29,0,52,Mumbai,rohit67@yahoo.com
68,Karan,22,57214,99,Lucknow,karan68@gmail.com
69,Arjun,33.73333333,0,52,Pune,arjun69@yahoo.com
70,Simran,43,8882.225,52,Lucknow,simran70@gmail.com
71,Neha,33.73333333,2127.142857,52,Jaipur,neha71@yahoo.com
72,Simran,33.73333333,8882.225,97,Pune,simran72@gmail.com
73,Rohit,32,2127.142857,52,Jaipur,rohit73@outlook.com
74,Neha,22,0,0,Varanasi,neha74@gmail.com
75,Rohit,33.73333333,0,52,Lucknow,rohit75@gmail.com
76,Riya,33.73333333,41221,70,Delhi,riya76@outlook.com
77,Aman,33.73333333,2127.142857,0,Jaipur,aman77@gmail.com
78,Neha,33.73333333,2127.142857,58,Mumbai,neha78@gmail.com
79,Riya,25,2127.142857,88,Pune,riya79@yahoo.com
